HC_prices,RB_prices,RB_HC_spread,z_score_2d,z_score_3d,z_score_5d,z_score_8d,z_score_13d,z_score_21d,z_score_34d,z_score_55d,z_score_89d,z_score_144d,z_score_233d,z_score_377d,HIST_VOL_2_RB_prices,HIST_VOL_2_HC_prices,HIST_VOL_3_RB_prices,HIST_VOL_3_HC_prices,HIST_VOL_5_RB_prices,HIST_VOL_5_HC_prices,HIST_VOL_8_RB_prices,HIST_VOL_8_HC_prices,HIST_VOL_13_RB_prices,HIST_VOL_13_HC_prices,HIST_VOL_21_RB_prices,HIST_VOL_21_HC_prices,HIST_VOL_34_RB_prices,HIST_VOL_34_HC_prices,HIST_VOL_55_RB_prices,HIST_VOL_55_HC_prices,HIST_VOL_89_RB_prices,HIST_VOL_89_HC_prices,HIST_VOL_144_RB_prices,HIST_VOL_144_HC_prices,HIST_VOL_233_RB_prices,HIST_VOL_233_HC_prices,HIST_VOL_377_RB_prices,HIST_VOL_377_HC_prices
268.0,521.0,253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269.5,524.25,254.75,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,,,,,,,,,,,,,,,,,,,,,,,,
271.5,526.0,254.5,-0.7071067811865475,0.44022545316280265,0.44022545316280265,0.44022545316280265,0.44022545316280265,0.44022545316280265,0.44022545316280265,0.44022545316280265,0.44022545316280265,0.44022545316280265,0.44022545316280265,0.44022545316280265,0.0325513168404728,0.02047586855318368,0.0325513168404728,0.02047586855318368,0.0325513168404728,0.02047586855318368,0.0325513168404728,0.02047586855318368,0.0325513168404728,0.02047586855318368,0.0325513168404728,0.02047586855318368,0.0325513168404728,0.02047586855318368,0.0325513168404728,0.02047586855318368,0.0325513168404728,0.02047586855318368,0.0325513168404728,0.02047586855318368,0.0325513168404728,0.02047586855318368,0.0325513168404728,0.02047586855318368
278.0,538.25,260.25,0.7071067811865476,1.1538461538461544,1.4549949516332878,1.4549949516332878,1.4549949516332878,1.4549949516332878,1.4549949516332878,1.4549949516332878,1.4549949516332878,1.4549949516332878,1.4549949516332878,1.4549949516332878,0.22394797529250007,0.18543561808805095,0.17111883271794984,0.16042149687568694,0.17111883271794984,0.16042149687568694,0.17111883271794984,0.16042149687568694,0.17111883271794984,0.16042149687568694,0.17111883271794984,0.16042149687568694,0.17111883271794984,0.16042149687568694,0.17111883271794984,0.16042149687568694,0.17111883271794984,0.16042149687568694,0.17111883271794984,0.16042149687568694,0.17111883271794984,0.16042149687568694,0.17111883271794984,0.16042149687568694
272.0,534.75,262.75,0.7071067811865475,0.8470542899485781,1.3536462332454862,1.3536462332454862,1.3536462332454862,1.3536462332454862,1.3536462332454862,1.3536462332454862,1.3536462332454862,1.3536462332454862,1.3536462332454862,1.3536462332454862,0.3344090719536963,0.5110034095534508,0.24095904003110624,0.3658347713884905,0.19677762255414105,0.29927833277755894,0.19677762255414105,0.29927833277755894,0.19677762255414105,0.29927833277755894,0.19677762255414105,0.29927833277755894,0.19677762255414105,0.29927833277755894,0.19677762255414105,0.29927833277755894,0.19677762255414105,0.29927833277755894,0.19677762255414105,0.29927833277755894,0.19677762255414105,0.29927833277755894,0.19677762255414105,0.29927833277755894
261.0,530.0,269.0,0.7071067811865475,1.1094003924504618,1.4476907070343221,1.615765057816491,1.615765057816491,1.615765057816491,1.615765057816491,1.615765057816491,1.615765057816491,1.615765057816491,1.615765057816491,1.615765057816491,0.026716566020881388,0.21168549381901863,0.28457859412789427,0.5254250609193652,0.20275101364963333,0.40745491936705164,0.20275101364963333,0.40745491936705164,0.20275101364963333,0.40745491936705164,0.20275101364963333,0.40745491936705164,0.20275101364963333,0.40745491936705164,0.20275101364963333,0.40745491936705164,0.20275101364963333,0.40745491936705164,0.20275101364963333,0.40745491936705164,0.20275101364963333,0.40745491936705164,0.20275101364963333,0.40745491936705164
268.5,522.75,254.25,-0.7071067811865475,-1.0467956208524214,-0.9576578267266052,-0.6948841330238136,-0.6948841330238136,-0.6948841330238136,-0.6948841330238136,-0.6948841330238136,-0.6948841330238136,-0.6948841330238136,-0.6948841330238136,-0.6948841330238136,0.053841587379740936,0.7765077512866305,0.05802961172492483,0.5676851294606987,0.23285224370464597,0.47321918494524845,0.21278129904793167,0.42503196727494924,0.21278129904793167,0.42503196727494924,0.21278129904793167,0.42503196727494924,0.21278129904793167,0.42503196727494924,0.21278129904793167,0.42503196727494924,0.21278129904793167,0.42503196727494924,0.21278129904793167,0.42503196727494924,0.21278129904793167,0.42503196727494924,0.21278129904793167,0.42503196727494924
249.0,500.5,251.5,-0.7071067811865476,-0.7172636782885047,-1.1591285998773055,-1.002489423817231,-1.002489423817231,-1.002489423817231,-1.002489423817231,-1.002489423817231,-1.002489423817231,-1.002489423817231,-1.002489423817231,-1.002489423817231,0.3242234600172724,1.137778113084698,0.289224796436064,0.8221961640907238,0.3718664162608356,0.6842076316893456,0.3238897975852775,0.5862063935978155,0.3238897975852775,0.5862063935978155,0.3238897975852775,0.5862063935978155,0.3238897975852775,0.5862063935978155,0.3238897975852775,0.5862063935978155,0.3238897975852775,0.5862063935978155,0.3238897975852775,0.5862063935978155,0.3238897975852775,0.5862063935978155,0.3238897975852775,0.5862063935978155
246.5,492.5,246.0,-0.7071067811865476,-1.0910894511799671,-1.1684659443216245,-1.4885796117197154,-1.5065591119038866,-1.5065591119038866,-1.5065591119038866,-1.5065591119038866,-1.5065591119038866,-1.5065591119038866,-1.5065591119038866,-1.5065591119038866,0.2983524730626545,0.7025209181130716,0.25482304852202814,0.8118956215293476,0.23008025919954156,0.5946727212351773,0.305541800757522,0.5427227037505615,0.305541800757522,0.5427227037505615,0.305541800757522,0.5427227037505615,0.305541800757522,0.5427227037505615,0.305541800757522,0.5427227037505615,0.305541800757522,0.5427227037505615,0.305541800757522,0.5427227037505615,0.305541800757522,0.5427227037505615,0.305541800757522,0.5427227037505615
238.5,475.75,237.25,-0.7071067811865475,-1.0668145655163295,-1.2270392704770228,-1.7308855597454693,-1.9469218732562303,-1.9469218732562303,-1.9469218732562303,-1.9469218732562303,-1.9469218732562303,-1.9469218732562303,-1.9469218732562303,-1.9469218732562303,0.20234287812845003,0.251598775622779,0.21538700117953313,0.5033780431145,0.22995388198613956,0.5978208171089553,0.3263051844755573,0.5456831413734256,0.31992391273057263,0.5215413869528173,0.31992391273057263,0.5215413869528173,0.31992391273057263,0.5215413869528173,0.31992391273057263,0.5215413869528173,0.31992391273057263,0.5215413869528173,0.31992391273057263,0.5215413869528173,0.31992391273057263,0.5215413869528173,0.31992391273057263,0.5215413869528173
